AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@WeightValueKg@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays
1132659@129985@Live weight@@0.611@0@NA@2015-01-23@@@@NA@51@1562
1132659@129985@Live weight@@0.614@0@NA@2014-12-19@@@@NA@50@1527
1143806@162977@Live weight@@1.07@0@NA@2008-10-17@@@@NA@463@14107
1143806@162977@Live weight@@1@0@NA@2008-04-13@@@@NA@457@13920
1145512@19749@Live weight@@0.024@0@NA@2020-02-24@@@@NA@9@286
1148307@62963@Live weight@@0.611@0@NA@2022-04-30@@@@NA@NA@NA
1148307@62963@Live weight@@0.58@0@NA@2021-08-22@@@@NA@NA@NA
1148307@62963@Live weight@@0.748@0@NA@2023-12-22@@@@NA@NA@NA
1148307@62963@Live weight@@0.598@0@NA@2022-08-02@@@@NA@NA@NA
1167030@120923@Live weight@@0.785@0@NA@1994-08-27@@@@NA@14@436
1167030@120923@Live weight@@0.745@0@NA@1994-07-27@@@@NA@13@405
1167030@120923@Live weight@@0.97@0@NA@1995-09-23@@@@NA@27@828
1167030@120923@Live weight@@0.91@0@NA@1994-10-20@@@@NA@16@490
1174779@108574@Live weight@@1.136@0@NA@2005-05-06@@@@NA@110@3354
1174779@11523@Live weight@@0.809@0@NA@2001-07-30@@@@NA@65@1978
1179458@122408@Live weight@@1@0@NA@1988-09-01@@@@NA@15@466
1218654@10512@Live weight@@0.696@0@NA@2023-04-17@@@@NA@67@2062
1220496@46745@Live weight@@2.686@0@NA@2013-04-22@@@@NA@495@15087
1220496@46745@Live weight@@2.719@0@NA@2013-09-10@@@@NA@500@15228
1220496@46745@Live weight@@2.573@0@NA@2013-02-23@@@@NA@493@15029
1220496@46745@Live weight@@2.536@0@NA@2014-03-22@@@@NA@506@15421
1224964@102642@Live weight@@0.679@0@NA@2022-10-02@@@@NA@409@12450
1224964@102642@Live weight@@0.677@0@NA@2022-09-20@@@@NA@408@12438
